mggid	ship	cruise	sample	device_code	device	subcore	interval	replicate	lower_phi_limit	upper_phi_limit	weight_percent
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	2	1	-2	-1	5	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	2	1	-1	0	1.4	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	2	1	0	1	1.4	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	2	1	2	3	9.3	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	2	1	3	4	7.1	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	2	1	4	5	10.4	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	2	1	5	6	6.8	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	2	1	6	7	7.1	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	2	1	7	8	12.5	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	2	1	8	9	11.8	
09005002	Unknown Platform	L.I. 244	10_15	100	grab, undifferentiated	0	1	1	-99	-2	30	
09005002	Unknown Platform	L.I. 244	10_15	100	grab, undifferentiated	0	1	1	-2	-1	59	
09005002	Unknown Platform	L.I. 244	10_15	100	grab, undifferentiated	0	1	1	-1	0	11	
09005002	Unknown Platform	L.I. 244	10_15	100	grab, undifferentiated	0	1	1	0	1	0	
09005002	Unknown Platform	L.I. 244	10_15	100	grab, undifferentiated	0	1	1	1	2	0	
09005002	Unknown Platform	L.I. 244	10_15	100	grab, undifferentiated	0	1	1	2	3	0	
09005002	Unknown Platform	L.I. 244	10_15	100	grab, undifferentiated	0	1	1	3	4	0	
09005002	Unknown Platform	L.I. 244	11_25	100	grab, undifferentiated	0	1	1	-99	-2	84	
09005002	Unknown Platform	L.I. 244	11_25	100	grab, undifferentiated	0	1	1	-2	-1	12	
09005002	Unknown Platform	L.I. 244	11_25	100	grab, undifferentiated	0	1	1	-1	0	3	
09005002	Unknown Platform	L.I. 244	11_25	100	grab, undifferentiated	0	1	1	0	1	1	
09005002	Unknown Platform	L.I. 244	11_25	100	grab, undifferentiated	0	1	1	1	2	0	
09005002	Unknown Platform	L.I. 244	11_25	100	grab, undifferentiated	0	1	1	2	3	0	
09005002	Unknown Platform	L.I. 244	11_25	100	grab, undifferentiated	0	1	1	3	4	0	
09005002	Unknown Platform	L.I. 244	12_29	100	grab, undifferentiated	0	1	1	-99	-2	20	
09005002	Unknown Platform	L.I. 244	12_29	100	grab, undifferentiated	0	1	1	-2	-1	59	
09005002	Unknown Platform	L.I. 244	12_29	100	grab, undifferentiated	0	1	1	-1	0	5	
09005002	Unknown Platform	L.I. 244	12_29	100	grab, undifferentiated	0	1	1	0	1	6	
09005002	Unknown Platform	L.I. 244	12_29	100	grab, undifferentiated	0	1	1	1	2	8	
09005002	Unknown Platform	L.I. 244	12_29	100	grab, undifferentiated	0	1	1	2	3	2	
09005002	Unknown Platform	L.I. 244	12_29	100	grab, undifferentiated	0	1	1	3	4	0	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	-1	0	1	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	0	1	1	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	1	2	2	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	2	3	4	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	3	4	4	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	4	5	11.6	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	5	6	14.1	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	6	7	10.5	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	7	8	12.6	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	8	9	9.5	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	9	10	7.5	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	10	1	10	99	11.1	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	11	1	-2	-1	1.2	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	11	1	-1	0	.9	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	11	1	0	1	1.9	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	11	1	1	2	2.8	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	11	1	2	3	4.7	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	11	1	3	4	5.3	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	11	1	4	5	8.2	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	11	1	5	6	11.3	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	11	1	6	7	12.5	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	11	1	7	8	13.1	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	11	1	8	9	21.4	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	11	1	10	99	16.8	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	-2	-1	.7	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	-1	0	1.1	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	0	1	2.1	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	1	2	3.5	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	2	3	7	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	3	4	7	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	4	5	10.2	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	5	6	7.4	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	6	7	13.7	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	7	8	12.6	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	8	9	10.9	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	9	10	8.1	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	12	1	10	99	15.8	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	13	1	-2	-1	4.7	
