mggid	ship	cruise	sample	device_code	device	subcore	interval	replicate	analysis_type	depth_top_cm	depth_top_mm	depth_bot_cm	depth_bot_mm	test_date	test_time	total_weight	coarse_meth	fine_meth	coarse_fine_boundary	coarse_boundary	fine_boundary	pct_coarser	pct_finer	pct_gravel	pct_sand	pct_silt	pct_clay	pct_mud	usc_gravel	usc_sand	usc_fines	meth_description	mean_mm	mean_phi	median_phi	modal_phi	skewness	kurtosis	std_dev	sort_coeff	interval_comments
09035008	Silas Bent	BENT	DAR4	406	core, gravity, ewing	0	1	1	02	37	0						sieves	hydrometer	04.00						11	47	42								7.8							
09035008	Silas Bent	BENT	DAR4	406	core, gravity, ewing	0	2	1	02	168	0						sieves	hydrometer	04.00						6	29	65								9.04							
09035008	Silas Bent	BENT	DAR4	406	core, gravity, ewing	0	3	1	02	293	0						sieves	hydrometer	04.00						11	34	55								8.38							
06245001	Townsend Cromwell	JPO 212	241	100	grab, undifferentiated	0	1	0	02					19750603	0713	065.35	sieves	hydrophotometer	03.99	00.00	08.00	0	38.16	0	.53	61.23	38.24							7.6	7.65		2.62	.06	.96			
06245001	Townsend Cromwell	JPO 212	242	100	grab, undifferentiated	0	1	0	02					19750603	0610	021.82	sieves	hydrophotometer	03.99	03.50	08.00	0	37.53	0	.32	62.11	37.57							7.42	7.12		2.68	.21	.87			
06245001	Townsend Cromwell	JPO 212	237	100	grab, undifferentiated	0	1	0	02					19750603	0910	022.76	sieves	hydrophotometer	03.99	00.00	08.00	0	41.75	0	.64	57.56	41.8							7.7	7.57		2.69	.12	.88			
06245001	Townsend Cromwell	JPO 212	238	100	grab, undifferentiated	0	1	0	02					19750603	1012	003.12	sieves	hydrophotometer	03.99	00.50	08.00	0	35.12	0	8.55	56.3	35.15							7.18	6.83		2.8	.22	.81			
06245001	Townsend Cromwell	JPO 212	155	100	grab, undifferentiated	0	1	0	02					19750531	1200	029.53	sieves	hydrophotometer	03.99	04.00	08.00	0	30.33	11.94	14.72	42.99	30.35							5.36	5.55		4.66	-.09	1.01			
06245001	Townsend Cromwell	JPO 212	156	100	grab, undifferentiated	0	1	0	02					19750531	1245	027.35	sieves	hydrophotometer	03.99	03.00	08.00	0	29.36	2.61	12.05	55.96	29.38							6.54	5.62		3.17	.32	1.14			
06245001	Townsend Cromwell	JPO 212	157	100	grab, undifferentiated	0	1	0	02					19750531	1326	021.84	sieves	hydrophotometer	03.99	02.50	08.00	0	22.55	5.08	29.23	43.12	22.57							5.03	5.07		3.96	.01	.88			
06245001	Townsend Cromwell	JPO 212	148	100	grab, undifferentiated	0	1	0	02					19750531	0422	202.88	sieves	hydrophotometer	03.99	04.00	08.00	0	8.63	58.85	11.29	21.23	8.64							.57	2.82		3.54	1.32	.68			
06245001	Townsend Cromwell	JPO 212	142	103	grab, van veen	0	1	0	02					19750529	1630	021.01	sieves	hydrophotometer	03.99	01.00	08.00	0	31.79	0	1.68	66.49	31.83							7.27	6.79		2.4	.32	1.02			
06245001	Townsend Cromwell	JPO 212	144	103	grab, van veen	0	1	0	02					19750530	1842	026.55	sieves	hydrophotometer	03.99	04.00	08.00	0	20.64	7.46	40.67	31.2	20.66							4.46	4.13		4.13	.12	.91			
06245001	Townsend Cromwell	JPO 212	145	104	grab, shipek	0	1	0	02					19750530	2253	002.96	sieves	hydrophotometer	03.99	01.00	08.00	0	39.19	0	1.54	59.24	39.23							7.46	7.16		2.77	.21	.79			
06245001	Townsend Cromwell	JPO 212	146	104	grab, shipek	0	1	0	02					19750531	0001	001.83	sieves	hydrophotometer	03.99	01.00	08.00	0	33.76	0	8.68	57.54	33.79							7.12	6.78		2.75	.23	.87			
06245001	Townsend Cromwell	JPO 212	139	103	grab, van veen	0	1	0	02					19750529	1215	033.33	sieves	hydrophotometer	03.99	04.00	08.00	0	20.06	15.08	33.01	31.83	20.08							3.99	4.19		4.52	-.01	.77			
06245001	Townsend Cromwell	JPO 212	14	300	core, box	0	1	0	02					19750528	1240	100.71	sieves	hydrophotometer	03.99	00.00	08.00	0	36.61	0	1.36	61.99	36.65							7.3	6.86		2.64	.29	.81			
06245001	Townsend Cromwell	JPO 212	140	300	core, box	0	1	0	02					19750528	0827	029.72	sieves	hydrophotometer	03.99	02.50	08.00	0	36.76	6.28	19.36	37.57	36.79							6.2	6.55		4.25	-.13	1.04			
06245001	Townsend Cromwell	JPO 212	141	100	grab, undifferentiated	0	1	0	02					19750529	0429	136.54	sieves	hydrophotometer	03.99	04.00	08.00	0	23.58	30.35	14.78	31.27	23.6							3.61	4.41		5.19	-.09	.54			
06245001	Townsend Cromwell	JPO 212	131	104	grab, shipek	0	1	0	02					19750601	0439	060.38	sieves	hydrophotometer	03.99	00.50	08.00	0	44.53	0	.38	55.04	44.59							7.76	7.75		2.75	.07	.84			
06245001	Townsend Cromwell	JPO 212	132	104	grab, shipek	0	1	0	02					19750601	0500	058.40	sieves	hydrophotometer	03.99	00.50	08.00	0	18.83	0	61.34	19.82	18.85							5.12	3.53		2.55	.94	.94			
06245001	Townsend Cromwell	JPO 212	133	104	grab, shipek	0	1	0	02					19750601	0530	136.32	sieves	hydrophotometer	03.99	00.50	08.00	0	3.76	0	86.18	10.05	3.77							3.08	2.96		1.02	.54	9.81			
