"","region","latstep","sizestep","repnum","latrng","size","meanturnIndiv","netwrkturn"
"1863","SEFSC_GOMex",0.858571428571429,0.08,4,0.777777777777778,0.0816326530612245,0.809610841424691,0.922741018434775
"1864","AFSC_Aleutians",1,0.08,4,0.923076923076923,0.0822510822510823,0.467152723878736,0.744948973321373
"1865","AFSC_EBS",1,0.08,4,0.8,0.0812407680945347,0.450701542316912,0.80995338419142
"1866","AFSC_GOA",1,0.08,4,0.9375,0.0806045340050378,0.576869872352399,0.7566810635188
"1867","DFO_NewfoundlandFall",1,0.08,4,0.933333333333333,0.0804769001490313,0.772581683739589,0.913314865697761
"1868","DFO_ScotianShelf",1,0.08,4,0.653846153846154,0.0808080808080808,0.693885727072304,0.953524092868965
"1869","DFO_SoGulf",1,0.08,4,0.785714285714286,0.0806451612903226,0.580297548946995,0.761817759304407
"1870","NEFSC_NEUSSpring",1,0.08,4,0.86046511627907,0.0815217391304348,0.783030468179721,0.839367116298979
"1871","NWFSC_WCAnn",1,0.08,4,0.857142857142857,0.0829694323144105,0.709185398230929,0.889246720345992
"1872","SEFSC_GOMex",1,0.08,4,0.388888888888889,0.0816326530612245,0.828437178961507,0.922495355413957
"1873","AFSC_Aleutians",0.01,0.15,4,0,0.151515151515152,0.452363109123111,0.643582803385905
"1874","AFSC_EBS",0.01,0.15,4,0.1,0.112259970457903,0.462888643030822,0.78709966191042
"1875","AFSC_GOA",0.01,0.15,4,0.0625,0.0188916876574307,0.465659538134167,0.524067548562795
"1876","DFO_NewfoundlandFall",0.01,0.15,4,0.12,0.0238450074515648,0.745667576523429,0.930109852930134
"1877","DFO_ScotianShelf",0.01,0.15,4,0,0.0277777777777778,0.742837872890518,0.823587679419223
"1878","DFO_SoGulf",0.01,0.15,4,0.5,0.123655913978495,0.616166688033457,0.711799685969802
"1879","NEFSC_NEUSSpring",0.01,0.15,4,0.0930232558139535,0.0833333333333333,0.764594936401612,0.880430045951593
"1880","NWFSC_WCAnn",0.01,0.15,4,0.46031746031746,0.0262008733624454,0.657183670775572,0.793940102463716
"1881","SEFSC_GOMex",0.01,0.15,4,0.111111111111111,0.151020408163265,0.818909083845619,0.918488854702396
"1882","AFSC_Aleutians",0.151428571428571,0.15,4,0.307692307692308,0.151515151515152,0.507586857556564,0.808223569861288
"1883","AFSC_EBS",0.151428571428571,0.15,4,0.133333333333333,0.150664697193501,0.399504388099038,0.779075127134976
"1884","AFSC_GOA",0.151428571428571,0.15,4,0.125,0.151133501259446,0.556869068820084,0.771508259507598
"1885","DFO_NewfoundlandFall",0.151428571428571,0.15,4,0.44,0.150521609538003,0.792406600202448,0.904795300679255
"1886","DFO_ScotianShelf",0.151428571428571,0.15,4,0.115384615384615,0.151515151515152,0.705012152086033,0.931991616480404
"1887","DFO_SoGulf",0.151428571428571,0.15,4,0.142857142857143,0.150537634408602,0.4822715228706,0.644022078895478
"1888","NEFSC_NEUSSpring",0.151428571428571,0.15,4,0.13953488372093,0.15036231884058,0.762638649611499,0.889294050014538
"1889","NWFSC_WCAnn",0.151428571428571,0.15,4,0.142857142857143,0.152838427947598,0.707368063728553,0.854142155273025
"1890","SEFSC_GOMex",0.151428571428571,0.15,4,0.111111111111111,0.151020408163265,0.825439586874569,0.927328555530403
"1891","AFSC_Aleutians",0.292857142857143,0.15,4,0.230769230769231,0.151515151515152,0.470921554279397,0.792952898950094
"1892","AFSC_EBS",0.292857142857143,0.15,4,0.266666666666667,0.150664697193501,0.474891416384309,0.780136822822503
"1893","AFSC_GOA",0.292857142857143,0.15,4,0.28125,0.151133501259446,0.503048468574548,0.781957611482403
"1894","DFO_NewfoundlandFall",0.292857142857143,0.15,4,0.28,0.150521609538003,0.79771467196639,0.913328947855241
