"","period","model","rcp","nmet","mid","pmet","region"
"167","2021-2040",6,45,121,2030.5,0.902985074626866,"AFSC_EBS"
"168","2021-2040",6,85,117,2030.5,0.873134328358209,"AFSC_EBS"
"169","2021-2040",7,45,121,2030.5,0.902985074626866,"AFSC_EBS"
"170","2021-2040",7,85,121,2030.5,0.902985074626866,"AFSC_EBS"
"171","2021-2040",8,45,120,2030.5,0.895522388059702,"AFSC_EBS"
"172","2021-2040",8,85,119,2030.5,0.888059701492537,"AFSC_EBS"
"173","2021-2040",9,45,121,2030.5,0.902985074626866,"AFSC_EBS"
"174","2021-2040",9,85,120,2030.5,0.895522388059702,"AFSC_EBS"
"175","2021-2040",10,45,123,2030.5,0.917910447761194,"AFSC_EBS"
"176","2021-2040",10,85,120,2030.5,0.895522388059702,"AFSC_EBS"
"177","2021-2040",11,45,123,2030.5,0.917910447761194,"AFSC_EBS"
"178","2021-2040",11,85,127,2030.5,0.947761194029851,"AFSC_EBS"
"179","2021-2040",12,45,120,2030.5,0.895522388059702,"AFSC_EBS"
"180","2021-2040",12,85,124,2030.5,0.925373134328358,"AFSC_EBS"
"181","2021-2040",13,45,125,2030.5,0.932835820895522,"AFSC_EBS"
"182","2021-2040",13,85,122,2030.5,0.91044776119403,"AFSC_EBS"
"183","2041-2060",1,45,123,2050.5,0.917910447761194,"AFSC_EBS"
"184","2041-2060",1,85,123,2050.5,0.917910447761194,"AFSC_EBS"
"185","2041-2060",2,45,124,2050.5,0.925373134328358,"AFSC_EBS"
"186","2041-2060",2,85,118,2050.5,0.880597014925373,"AFSC_EBS"
"187","2041-2060",3,45,118,2050.5,0.880597014925373,"AFSC_EBS"
"188","2041-2060",3,85,103,2050.5,0.76865671641791,"AFSC_EBS"
"189","2041-2060",4,45,117,2050.5,0.873134328358209,"AFSC_EBS"
"190","2041-2060",4,85,118,2050.5,0.880597014925373,"AFSC_EBS"
"191","2041-2060",5,45,122,2050.5,0.91044776119403,"AFSC_EBS"
"192","2041-2060",5,85,123,2050.5,0.917910447761194,"AFSC_EBS"
"193","2041-2060",6,45,117,2050.5,0.873134328358209,"AFSC_EBS"
"194","2041-2060",6,85,117,2050.5,0.873134328358209,"AFSC_EBS"
"195","2041-2060",7,45,125,2050.5,0.932835820895522,"AFSC_EBS"
"196","2041-2060",7,85,119,2050.5,0.888059701492537,"AFSC_EBS"
"197","2041-2060",8,45,124,2050.5,0.925373134328358,"AFSC_EBS"
"198","2041-2060",8,85,109,2050.5,0.813432835820896,"AFSC_EBS"
"199","2041-2060",9,45,118,2050.5,0.880597014925373,"AFSC_EBS"
"200","2041-2060",9,85,124,2050.5,0.925373134328358,"AFSC_EBS"
"201","2041-2060",10,45,122,2050.5,0.91044776119403,"AFSC_EBS"
"202","2041-2060",10,85,122,2050.5,0.91044776119403,"AFSC_EBS"
"203","2041-2060",11,45,108,2050.5,0.805970149253731,"AFSC_EBS"
"204","2041-2060",11,85,102,2050.5,0.761194029850746,"AFSC_EBS"
"205","2041-2060",12,45,123,2050.5,0.917910447761194,"AFSC_EBS"
"206","2041-2060",12,85,114,2050.5,0.850746268656716,"AFSC_EBS"
"207","2041-2060",13,45,123,2050.5,0.917910447761194,"AFSC_EBS"
"208","2041-2060",13,85,116,2050.5,0.865671641791045,"AFSC_EBS"
"209","2061-2080",1,45,116,2070.5,0.865671641791045,"AFSC_EBS"
"210","2061-2080",1,85,119,2070.5,0.888059701492537,"AFSC_EBS"
"211","2061-2080",2,45,115,2070.5,0.858208955223881,"AFSC_EBS"
"212","2061-2080",2,85,108,2070.5,0.805970149253731,"AFSC_EBS"
"213","2061-2080",3,45,117,2070.5,0.873134328358209,"AFSC_EBS"
"214","2061-2080",3,85,103,2070.5,0.76865671641791,"AFSC_EBS"
