"","sppocean","ntot","ntot.1","ntot.2","npres","npres.1","npres.2","aic1","aic1null","aic2","aic2null","anova.resid.df.1","anova.resid.df.1null","anova.resid.df.2","anova.resid.df.2null","anova.resid.dev.1","anova.resid.dev.1null","anova.resid.dev.2","anova.resid.dev.2null","anova.p.1","anova.F.2","anova.p.2"
"88","chaetodipterus faber_Atl",69804,34902,34902,430,211,219,2853.01615492048,2880.47871597917,7900.91300017139,7980.76688874733,69787.2158401425,69795.2835876621,3593.92544257163,3607.04972663775,2821.47116306573,2863.8488658778,1851.19724176705,1905.60692083231,1.22432940327225e-06,8.05054763884437,2.78156613262306e-16
"89","chauliodus macouni_Pac",31363,15681,15682,872,165,707,4570.89498097071,4626.37653583468,8423.37228215083,8697.7264759576,31334.0014571133,31346.4106229802,1969.02487631545,1982.16043467846,4517.22733613217,4595.31729263084,7665.30841483416,8897.76231796549,1.42659062322303e-11,24.1225778055125,3.96789948068752e-55
"90","chauliodus sloani_Atl",69804,34903,34901,1982,844,1138,7309.31696498843,7484.75682834214,14902.9878482704,16003.4520764616,69771.8513015191,69786.0191658943,3239.34399042058,3252.0148269482,7247.58071705242,7449.16977587685,17915.1246488507,25265.4786675802,3.27480341180568e-35,104.923519481462,1.1146613454317e-230
"91","cheiraster dawsoni_Pac",31363,15681,15682,1015,381,634,6766.4673279684,6847.01598493675,3213.94257303265,3229.83866639542,31335.2033766923,31347.1907606115,990.519561911257,1001.22513818175,6715.54666866814,6818.23537446612,1346.99131549077,1394.48592796159,1.62955440124056e-16,3.27009371131195,0.000241481344459009
"92","chiasmodon niger_Atl",69804,34902,34902,1025,114,911,4951.75682171651,5014.62558388876,20825.7902199204,21947.5353520749,69775.161232847,69788.691283068,5299.22448728525,5307.0270097204,4896.45549266792,4985.25520985842,15437.5202173472,19107.6456951592,4.03014313131892e-13,161.502727582892,4.44493325432729e-239
"93","chionoecetes bairdi_Pac",31363,15681,15682,9027,4391,4636,23427.304877633,23768.162254044,36466.3258824361,36577.0648806492,31331.8565585133,31345.1961302568,8993.22383087768,9008.72784987775,23368.8535210318,23734.362631525,29801.4952947238,30272.7837150627,7.51914020257222e-70,9.17421656243259,2.35444872060124e-22
"94","chionoecetes opilio_Atl",69803,34902,34901,13972,5763,8209,29972.1003661291,31027.0483395641,59555.8163513905,60399.1238262988,69773.3582919733,69785.816901049,14719.8378280497,14733.1476095794,29915.3165098107,30993.3842498621,48732.0382031237,51686.7432766692,8.67190143290654e-223,67.0616613303547,1.23989061648092e-176
"95","chionoecetes opilio_Pac",31363,15680,15683,8379,5552,2827,7803.23905250136,7902.30942413137,41678.4598414309,42724.3441757801,31336.7585085227,31347.3738439985,9163.00329183494,9178.00211203549,7753.31284357868,7871.84884282284,49718.0959689937,55888.494454533,2.20406468767779e-20,75.8204819564796,3.38795090383591e-219
"96","chionoecetes tanneri_Pac",31363,15681,15682,1731,189,1542,4141.09435866262,4389.3055492348,13159.1378704922,13880.8573771217,31332.369287581,31345.5324967451,2826.7174725933,2841.00449198381,4084.21236782753,4356.19678062828,16329.8166308751,21211.3163740958,2.20205052571842e-50,59.1734089988463,7.33705779745904e-149
"97","chlamys islandica_Atl",69804,34903,34901,2077,483,1594,11619.4720695741,12532.5306615171,16808.4892915645,17618.6808551221,69782.1268719833,69788.8541300305,3334.96630206869,3347.02536690584,11576.4886189407,12502.8794010613,28589.8743180335,36609.9780688591,4.81167582186147e-196,77.6126444814502,4.59700654536299e-169
"98","chlamys rubida_Pac",31363,15681,15682,751,555,196,5286.50558775061,5394.66564600266,6705.69853281651,7712.14518744646,31336.7851242898,31345.6441741575,1266.94259242576,1283.04854090706,5236.69538661308,5361.63715515764,12646.0963897636,28081.9425194176,1.06724643838044e-22,96.130759409785,3.49960333972307e-206
"99","chloroscombrus chrysurus_Atl",69804,34902,34902,2616,1291,1325,7568.54729724626,7628.71364333688,20728.1430968388,20826.9213047268,69786.7235331027,69795.1789897717,5777.50894775939,5793.00455271524,7536.23575949373,7612.3870956266,11947.7964573905,12214.0208081517,4.98561967852358e-13,8.30938304628251,1.13621698862699e-19
"100","chorilia longipes_Pac",31363,15681,15682,649,260,389,4892.50491121738,5008.55717395881,2039.19516278581,2048.53910506453,31332.5840453832,31344.0948748872,627.070832103235,632.195547828465,4836.02161200046,4971.90395955617,823.118266963294,849.337501837524,2.17142237116109e-23,3.90603015430129,0.00154338392681764
"101","chrysaora melanaster_Pac",31363,15681,15682,3817,253,3564,13154.9607207247,16050.4937733385,13914.1573838425,13945.1491961176,31334.816007053,31346.0474416386,3793.43497033298,3798.40482261285,13101.2901255755,16017.2784596261,8453.07678086094,8544.17210191084,0,8.22773021093053,1.04696526371913e-07
"102","chrysaora quinquecirrha_Atl",69804,34902,34902,617,119,498,3683.07222754148,3936.43697025074,20588.1605768821,21010.2379051058,69788.2923614367,69795.2611438564,6789.70942816153,6804.10697098409,3654.28292350347,3920.79422009949,8105.06266867974,8657.29168090605,7.94974377591108e-54,32.1359885070337,1.89655716707992e-86
"103","citharichthys arctifrons_Atl",69804,34902,34902,2901,612,2289,14870.613027134,16501.2697783961,30904.7480245888,31337.6205762611,69773.2887564807,69788.1872904371,5687.01780497122,5702.00081180396,14810.6174286172,16470.4114216052,73661.3489513773,79864.9461366223,0,31.9677771937103,1.2839268614392e-88
"104","citharichthys macrops_Atl",69804,34902,34902,335,145,190,2763.60852649806,2763.90696214647,5381.32602716209,5556.59337615482,69786.6080543125,69793.9954642616,3496.43493741376,3510.05137472294,2731.56804735094,2744.09839963896,933.8147806627,988.771074062012,0.100338582949293,15.1148450689281,2.79519355784161e-35
"105","citharichthys sordidus_Pac",31363,15681,15682,3115,819,2296,5428.0889580152,5653.50058605128,20499.5039368013,20922.6324006904,31332.9312846894,31347.767732565,4577.16730199113,4592.00678681302,5369.1019871154,5623.4820688161,22732.7927677472,25075.7867455196,1.22466206747375e-45,31.7937869268122,1.83324041420884e-86
"106","citharichthys spilopterus_Atl",69804,34902,34902,889,478,411,5386.01355586715,5442.87487187081,8842.85106634989,9401.34870879654,69786.5091229416,69793.9291559434,4049.40314569174,4064.01298690599,5352.74336309755,5423.72449755275,2055.47427825412,2373.19466796059,1.56911430362539e-12,42.8517171404191,6.8757516883146e-115
"107","clinocardium ciliatum_Pac",31363,15680,15683,400,162,238,3312.8243460006,3385.9402951802,5250.16984988408,5411.56968071147,31345.4514869932,31350.5336998405,1185.83164262603,1199.03624505618,3279.26716729935,3362.22455834381,5081.98425005363,5923.65583119417,2.28532625460174e-16,14.8862688726932,6.22866734717224e-32
"108","clinopegma magnum_Pac",31363,15682,15681,1433,838,595,7068.73878389455,7108.61103120935,15995.0982304963,16910.8687454759,31337.646050785,31350.5867434393,3414.35348498578,3426.0522852651,7019.89696208942,7084.64895128526,20719.1876333114,27203.8094112884,6.9491500446079e-09,91.383268456648,5.40088645779939e-192
"109","clupea harengus_Atl",69807,34905,34902,14807,4538,10269,51652.7557774269,57385.057098178,66810.4731898572,66946.3405326749,69773.0057806637,69788.0503110771,15555.6450313962,15570.0002728227,51585.0633318424,57347.5652945984,66073.2445171921,66770.7723523082,0,11.4400162516548,2.27147224832461e-27
"110","clupea pallasii_Pac",31363,15681,15682,4766,2260,2506,20028.1809127762,20048.7315937647,20152.9461306382,20188.4759006797,31329.1138264322,31344.0247987373,4737.31844171485,4751.46749251216,19962.054053219,20011.3509503,18927.3174579976,19171.1069330507,1.47886646036014e-05,4.3145796618863,9.80063039932867e-08
"111","coryphaenoides acrolepis_Pac",31363,15681,15682,1190,162,1028,2106.38904831175,2200.81837530323,12466.8868040939,13154.4760829569,31334.3342751876,31347.7890058436,2652.82310036861,2667.01236807217,2052.51715266509,2172.29130303541,15979.8665585049,20847.8240395661,3.76314042544084e-19,56.9820640186397,1.02451231718323e-141
"112","coryphaenoides rupestris_Atl",69804,34902,34902,2209,311,1898,6931.88616650648,7225.34641822826,34823.7911540676,37982.4849216257,69776.2732181981,69787.7889162246,6480.13284657481,6491.01363309383,6879.25877646846,7193.76649369788,79632.2029956759,129794.737541815,1.85254432882368e-60,375.198471242547,0
"113","cottunculus microps_Atl",69804,34902,34902,992,217,775,6186.5258701041,6285.76349485652,25670.1789183798,27332.2043085516,69780.4908038003,69792.2009027772,5260.19597161222,5274.00404963878,6142.33195248833,6263.76435172098,39182.4029035137,53901.7435048283,2.25036078589312e-20,143.141127914638,0
"114","crangon dalli_Pac",31363,15680,15683,548,291,257,4232.09722367099,4541.07523163961,6152.63801409754,6288.47669630413,31338.9106645258,31348.5423100148,1332.30975968309,1347.02354566436,4186.90473076553,4513.62989919311,6937.62255207427,7821.97611211769,1.76333787336997e-64,11.551945065091,1.23671268646767e-26
"115","crossaster borealis_Pac",31363,15681,15682,1129,534,595,5428.14486048566,5459.34477265831,3623.01908751501,3622.64357631234,31331.2832026773,31344.8969805316,1107.32486834812,1112.01069879475,5368.15814099424,5424.67646179176,1576.05871652933,1586.87844109067,3.53016451682234e-07,1.62444547508807,0.155231546175915
"116","crossaster papposus_Pac",31363,15681,15682,2227,855,1372,14110.7911978424,14217.88627023,6987.32566398167,6995.98402206123,31330.0689733966,31344.2390810977,2199.8952300887,2209.15678993153,14047.9927608288,14181.7110933422,2935.36356063215,2969.80256502007,1.52629080459303e-21,2.78926230577422,0.00266556264562734
"117","ctenodiscus crispatus_Pac",31363,15681,15682,3276,1176,2100,16298.497196238,16727.7969655244,14547.643321021,14592.2875404583,31329.3503750065,31344.0338988692,3243.24070167341,3257.31403150457,16232.9773250532,16690.3890297019,15960.9409405626,16305.5002346521,3.23082469366204e-88,4.9782961008516,2.59037634529970e-09
"118","cucumaria fallax_Pac",31363,15680,15683,1039,507,532,7616.11437435744,7644.29691787944,8734.45099840679,8942.33365944476,31334.5600167683,31347.5099708033,1823.94023071635,1838.26144082425,7562.80832466901,7615.20142720612,11646.8368152851,13225.4940550284,1.10906208508476e-06,17.271504724637,1.67837272717007e-41
"119","cyanea capillata_Pac",31363,15681,15682,1000,178,822,5498.81518354952,6017.31611740509,3804.97638131851,3816.52821410868,31333.4570368974,31346.348523724,975.55198382824,983.90259356035,5443.90838311435,5985.21339212557,2509.75969332691,2579.11247904597,1.97295723705483e-107,3.23481783657277,0.0010048003258596
"120","cyclopsetta chittendeni_Atl",69804,34902,34902,1394,554,840,6930.33432752474,6967.18250755427,24842.9400661186,25254.3522830475,69786.6592887524,69793.24750474,7569.3676073819,7583.00033849649,6897.83646456738,6946.92280566221,11624.3050550593,12314.2673624533,1.39452072998496e-08,32.9576946106972,1.1402806949502e-84
"121","cyclopterus lumpus_Atl",69804,34903,34901,2282,797,1485,14539.3932491184,14678.3029133474,18313.1732409844,18484.0167016214,69775.2687269053,69786.6828687229,3537.07477844183,3552.00462926245,14484.1950188216,14644.659375619,34666.5946062874,36660.9535460903,1.90478967997737e-28,13.6319613630403,4.40162919786353e-34
"122","cynoscion arenarius_Atl",69804,34902,34902,2418,1258,1160,9426.5504890981,9437.61513261202,17156.7573830632,17177.3198504023,69780.5377316108,69790.837195392,5578.14740137423,5593.00955995855,9382.89035332087,9412.51175992216,6918.35852374664,6979.27283413168,0.00119177753162668,3.30505704717226,1.62421688391378e-05
"123","cynoscion nothus_Atl",69804,34902,34902,1681,697,984,7350.62884464231,7388.20231161681,14935.753736192,15019.2668920132,69785.1879007728,69790.0428941072,4843.13562493955,4856.29069903402,7315.28418173808,7361.30086509465,6044.93612221752,6182.44850223011,7.52023265375218e-09,8.37590878924048,3.36505986491099e-17
"124","cynoscion regalis_Atl",69804,34902,34902,2037,1166,871,8639.72198681605,8791.04077908522,33906.9358557282,34416.2896065782,69774.7468054866,69789.1466882049,5980.834077317,5993.01192588062,8583.98279116341,8762.4580019802,98462.3174442111,107592.838367391,2.22588612433427e-30,45.5471491970173,8.29776179823591e-106
"125","dasyatis centroura_Atl",69804,34902,34902,501,216,285,3526.93123470916,3583.55086946548,21865.6179590126,22253.3384160403,69779.73254225,69790.2920005156,4446.01213063044,4459.00095947351,3481.81471527223,3557.75602296176,34379.442943658,37707.9867279493,5.65844188376447e-12,33.1422798876429,8.56796076807833e-80
"126","dasyatis say_Atl",69804,34902,34902,711,382,329,3739.12375035972,3822.08653617838,16595.0347930469,16825.5073736687,69780.2653792424,69791.6657350294,3873.54200259629,3886.69100251817,3694.47887296124,3798.75499500507,15832.8955525302,16906.923350232,4.04755495673187e-17,19.9897060389405,8.59091076454922e-47
"127","dasycottus setiger_Pac",31363,15681,15682,2410,1055,1355,13426.6093952869,13630.5376537341,8308.24644992137,8346.71223691352,31331.5407231962,31344.7486976806,2387.41556093858,2395.13429512989,13367.0454214817,13595.4669578462,4351.85831053604,4447.59319015626,2.57826693690409e-41,6.80770874001946,1.23735286603436e-08
"128","decapterus puctatus_Atl",69804,34902,34902,507,183,324,3734.59792313332,3760.75271114159,19971.3926661416,20400.2403944377,69786.094550864,69794.5053939983,6681.54560720829,6694.77225149511,3701.68603803769,3742.92802991278,7645.30435075881,8181.57713111848,2.71570563475442e-06,35.437311945594,1.71161964671349e-88
"129","decapterus punctatus_Atl",69804,34902,34902,772,403,369,4362.70416370757,4681.69430260039,25735.3530478259,26093.1797515927,69780.3191918089,69791.8972402989,4717.01008919359,4730.00046202416,4316.63968672981,4658.06428619779,62394.6846121134,67647.8232217471,4.35121920832059e-66,30.5730630267734,1.55673723193175e-73
"130","dichelopandalus leptocerus_Atl",69803,34902,34901,1244,267,977,7723.37816239456,8106.51301970036,25875.8040962546,26206.8431077419,69776.4044265465,69789.2809542113,5191.23864741058,5202.45313459633,7672.2064756062,8080.3145429164,43253.6108559279,46260.5860687139,3.48215804983601e-79,32.1989327937634,4.75570957931487e-68
"131","diplectrum bivittatum_Atl",69804,34902,34902,2422,1554,868,8067.50857680501,8698.44123273043,16067.6277756779,16250.8941264895,69782.7115658795,69792.8532167766,5586.02988081137,5599.0043999762,8026.94975138386,8677.16320722044,5697.0241448336,5912.85110350841,4.09862924284281e-133,16.3116359139053,3.09094161796541e-37
"132","diplectrum formosum_Atl",69804,34902,34902,1013,321,692,5960.17162844266,6330.27044457432,10600.5338325757,11171.9027201022,69778.7012276681,69790.1767220214,4173.54231020816,4188.10259054851,5911.06143429159,6303.7261056271,3019.83007235833,3482.35993983399,5.25416642533425e-77,43.9132423226512,1.21795065306174e-117
"133","dipsacaster borealis_Pac",31363,15682,15681,407,132,275,3245.43235229826,3291.09939467176,3309.01528795813,3472.29795683498,31335.5606144809,31345.9937220635,651.918387073679,659.144446610441,3196.19150173787,3259.49242908636,4972.47071322486,6453.44139035805,1.30791644087851e-09,26.9247631550805,2.33638618754307e-33
"134","dipsacaster eximius_Pac",31363,15682,15681,306,0,306,1991.94874790082,2094.88847671156,14606.8734497418,15403.0401358993,31344.8776364819,31349.6467889251,2875.31844717406,2879.30831858607,1956.99416906153,2069.23712860293,26022.3814386496,34359.363963005,9.31911985937786e-23,230.939526155967,9.3568389641456e-172
"135","dipturus laevis_Atl",69804,34902,34902,1916,390,1526,11817.9454311561,13035.3494035076,28044.9350977673,28512.9370208014,69776.7928929574,69789.0175538057,4702.76287711609,4717.17754049673,11766.4856699578,13006.2553469105,102452.792581922,113751.833332415,8.00452746165733e-258,35.9897744124114,6.74379037538418e-96
"136","dromalia alexandri_Pac",31363,15682,15681,369,0,369,1570.86454152344,1720.4775256868,13430.8969958461,14396.8582321636,31344.082872196,31349.9916891599,2938.30362017002,2943.15397841715,1533.91476537771,1694.92169636538,16045.5929338306,22325.0264703076,3.09122620268131e-32,237.122415303639,7.31317737414093e-208
"137","echinarachnius parma_Atl",69804,34903,34901,882,0,882,5631.21459732315,6447.93091477546,25232.0084762658,25731.7179884604,69784.6857912962,69788.5796378932,5160.01945608989,5164.0566832408,5593.79857141129,6418.28170631382,39205.9815510541,43244.8831223786,2.83434750586848e-177,131.673563806141,3.60559233396608e-108
"138","elassochirus cavimanus_Pac",31363,15680,15683,1279,484,795,8938.22462279545,9140.79606165724,9910.68560163523,10812.8077686787,31334.5174139154,31347.3379109647,2065.93140255733,2078.11360858446,8884.81702538829,9111.09876984964,13525.4565349759,21037.2505397921,4.03265087501295e-41,94.2310578178114,4.92797020758633e-188
"139","eleginus gracilis_Pac",31363,15681,15682,471,304,167,2964.57864673263,3018.63549328182,8938.88790932101,9036.93021749878,31334.1485198561,31348.371468518,1622.23582044696,1637.11817780542,2909.12810194376,2990.92176147583,20805.8820109342,22462.6712749231,1.61569678680039e-11,8.68572276364038,1.88319389579271e-19
"140","embassichthys bathybius_Pac",31363,15681,15682,1257,150,1107,2178.83546714175,2202.06499466353,9778.00532468424,10313.2596179252,31339.5819982582,31347.839434125,2724.66326382576,2734.25095148721,2134.13606496259,2173.20386950667,5524.88625150927,6756.96168452129,5.98480649975199e-06,63.3967684870285,5.05668453686399e-112
"141","enchelyopus cimbrius_Atl",69804,34903,34901,3077,946,2131,20432.9089808832,21217.1107234892,13745.338545852,14096.8919225421,69771.0289610114,69785.9054140429,3824.12861689738,3840.0006439549,20367.8504950457,21181.2520528644,7836.01217568658,8650.25198478607,9.08004871955193e-164,25.0424132829009,8.03089101953487e-71
"142","engyophrys senta_Atl",69804,34902,34902,519,252,267,3588.26192321157,3599.55274960836,16275.8236235553,16401.8153226002,69786.9886438613,69793.0509150173,6694.23748274123,6706.27220954366,3556.43284543566,3579.16993446683,4397.03754703223,4495.94425534555,0.000934819157713991,12.5133342248981,9.30303086491399e-26
"143","enteroctopus dofleini_Pac",31363,15681,15682,1284,250,1034,8991.03403056178,9405.53398977407,5196.49797597784,5239.67208350819,31334.3106675462,31345.4520821612,1259.08391058358,1268.90021978785,8938.59629909733,9372.38891626633,4140.63784482454,4348.60581859961,5.27370408999236e-86,6.44878353649494,1.28808599554908e-09
"144","eopsetta jordani_Pac",31363,15681,15682,3952,970,2982,8305.76554815594,8615.47323980391,20990.3054807708,21779.8531856213,31331.7135577662,31345.5330467364,5049.56162527698,5062.09405826444,8245.50919538861,8581.27588018514,18305.9000467914,21487.7653928631,2.94908347231271e-63,70.0416419207835,3.42534643852848e-165
"145","equetus laceolatus_Atl",69804,34902,34902,319,9,310,1811.4774860699,1891.19754412639,13320.066277269,14515.99289091,69787.3015385967,69793.9428899663,6494.90368576081,6508.90828997944,1779.66997711726,1871.93592418308,2920.17336284485,3523.22727812076,2.57177531736609e-17,95.7821342245575,6.80602158965902e-252
"146","erimacrus isenbeckii_Pac",31363,15680,15683,1962,1182,780,10682.913742059,10721.9958492806,11929.0884221857,12437.8761648369,31335.5991430977,31347.9178429346,2746.08009508457,2761.02243580465,10630.5121801249,10692.532811249,11643.3059353907,14130.6627401036,1.2744093975661e-08,39.2694706764195,5.18663673717491e-104
"147","etropus crossotus_Atl",69804,34902,34902,1830,1158,672,7821.34517071875,7957.34345966165,13587.7937580155,13767.7885716214,69783.0342317304,69793.071986485,4990.7625936472,5005.07885468375,7781.77087652164,7936.68230286114,4348.83338946499,4532.10206423769,3.832959695182e-28,14.6940447339063,4.37038036537893e-36
"148","etropus microstomus_Atl",69804,34902,34902,618,125,493,5258.85527651223,5658.22646448008,20889.9547681745,21615.9400887386,69776.3457542178,69788.2026176114,3779.64512468162,3793.01767030963,5205.661737755,5627.56179330216,52904.0598002022,64436.1959797013,6.66790662470583e-83,61.628359512032,7.93436373433169e-151
"149","etrumeus teres_Atl",69804,34902,34902,1833,1004,829,11007.5294191205,11163.230985541,26093.8486667351,26350.834852267,69775.1973496372,69789.5088887839,4995.12946312303,5008.01721379257,10953.4121303211,11135.9847661269,52377.4487889516,55404.0107736704,2.93625158828863e-31,22.3982382751391,1.94259840052524e-52
"150","eualus fabricii_Atl",69804,34903,34901,559,509,50,3233.48110274346,3449.57459235113,8253.37530093481,8981.19938935537,69785.9898572253,69790.6680831666,1816.36729480978,1831.23969082943,3198.8558054298,3424.82224277332,9125.94443363155,13745.2948136388,4.06467910124039e-47,61.8559632227702,1.47674019226712e-149
"151","eualus gaimardii_Atl",69804,34902,34902,2355,451,1904,10216.9009846905,10612.1419765589,28664.4378871663,29553.7235569922,69782.909994693,69787.728542774,6624.36367931373,6637.40735315877,10176.0889875567,10580.702123725,28679.157549895,32907.8738565005,1.9741249396494e-85,74.8905903201599,1.52367427343032e-186
"152","eualus macilentus_Atl",69804,34902,34902,1870,366,1504,7826.63678640797,7809.51551245158,25586.9797335987,26442.6004028209,69781.2488497024,69787.6898691416,6139.1548915441,6152.01956569542,7783.62040305238,7778.45249809436,22637.9203160261,26109.1063736945,NA,73.1839400799078,3.80308776094863e-179
"153","eualus macrophthalmus_Pac",31363,15681,15682,304,30,274,1890.8884274396,1925.89987287324,6885.59571945527,7508.30620526393,31338.6023062076,31348.2565436824,1772.02837282575,1781.48047635389,1845.62666941396,1898.48154087509,4705.48361923787,6724.43625650012,5.77411651679757e-08,80.4526571179766,2.76167548133234e-130
"154","eucinostomus gula_Atl",69804,34902,34902,696,249,447,4514.00849855935,4604.07472612472,8553.22207363798,8709.15445589899,69784.6903555324,69793.6888554763,3858.05608845144,3871.01911125799,4477.54522452351,4584.30663387095,2023.88533067258,2120.6051147154,6.68761887336952e-19,14.2244261619496,1.35264415901989e-31
"155","eumesogrammus praecisus_Atl",69804,34902,34902,1255,248,1007,7057.57813393009,7206.42113470179,24308.7300895376,24817.8822841702,69776.8543922247,69787.1708576665,5522.23997188899,5537.01022813986,7005.85690081907,7173.9015869008,25583.068157719,28182.4628844937,1.11817069247387e-30,37.9935654381342,1.39729988391802e-104
"156","eumicrotremus orbis_Pac",31363,15681,15682,570,358,212,4395.1586594801,4453.30933977543,6163.38409798008,6592.66044690482,31336.000842103,31346.2784034654,1355.52069915378,1369.30868799141,4345.76562475046,4421.3860324544,6633.65573845745,9212.48207255844,4.8480997014533e-12,38.260571988782,8.41893007638511e-87
"157","eumicrotremus spinosus_Atl",69804,34903,34901,2203,974,1229,10819.5595921627,11473.7185039539,16501.1319253425,17380.286949411,69780.8708173917,69790.2032166672,3463.53693683691,3475.47838627154,10775.1857085078,11446.9505854338,22721.7321864286,29423.0981283974,1.6865734069871e-138,85.566903398468,2.63744446335539e-184
"158","eunoe depressa_Pac",31363,15680,15683,888,341,547,6355.78324814547,6653.36620434007,7442.48888747558,7654.59579202453,31334.8119997384,31346.0738930931,1672.07509451675,1687.02629363108,6301.48950811669,6620.26544180884,7575.56173700106,8727.20284872378,1.51233275425611e-61,17.0083371819316,4.06549218423838e-42
"159","eunoe nodosa_Pac",31363,15680,15683,1815,988,827,10259.6296368987,10468.6760285428,11399.7083769496,11875.573301427,31336.6838089803,31348.0900926289,2599.42496715144,2614.03135866892,10209.8713447035,10440.2263794011,11454.9003580322,13870.0153996161,6.7473123133072e-43,37.5377118553081,5.29906495419807e-97
"160","euspira pallida_Pac",31363,15681,15682,423,242,181,2938.76204636917,2999.28477512122,5842.63436374991,5982.31926486269,31341.2360535649,31350.702714088,1306.4945240821,1320.02621361361,2898.85994717147,2976.63956734926,5914.92870450582,6689.1054288391,7.56969348099276e-13,12.6506320294746,1.89273424097893e-27
"161","evasterias echinosoma_Pac",31363,15680,15683,593,360,233,4834.83303848775,4862.69373384439,6168.5910768309,6619.04984995198,31341.1805030888,31349.3116207196,1377.11183620345,1392.16723304439,4793.52514280103,4837.33794791606,6279.43402010063,8829.581837998,6.97771548636071e-07,37.1652228835964,5.92742675586681e-91
"162","farfantepenaeus aztecus_Atl",69804,34902,34902,5615,2579,3036,9999.0877707847,10191.913891165,46938.3601049972,47273.0472922751,69778.9745712127,69790.3130064703,11789.6969061265,11802.7562000495,9952.03674012431,10165.889780716,36563.5286001332,37696.7914099778,1.64953872590599e-39,27.9821934718311,6.59290835528967e-69
"163","flustra serrulata_Pac",31363,15680,15683,417,228,189,3416.97965146147,3444.76592770502,4934.18260174683,5270.60787605327,31342.3066827227,31348.3477448285,1202.91316065874,1216.09803410083,3378.65444551904,3417.43399486324,3761.66397177897,5042.62824379996,8.25312860094799e-07,31.0990800950257,1.23659533267544e-67
"164","fusitriton oregonensis_Pac",31363,15681,15682,6667,2876,3791,26206.6046630329,26370.3725244718,23426.5245171637,23453.2862259049,31329.7677033597,31344.2492796823,6642.87672623823,6652.59543147087,26142.6663713635,26333.8888834515,13015.0646557624,13101.6825289193,6.46241846411245e-33,4.55017841839136,2.50170290575147e-06
"165","gadus macrocephalus_Pac",31363,15681,15682,19159,9739,9420,21862.1981578374,21971.7697632615,70574.7879670617,70684.0384446698,31329.0732274182,31344.5696084406,19128.1272671512,19140.0533267087,21795.5093532107,21936.3416661769,44492.9401843108,44798.963141364,2.79443707314485e-22,11.0322923247724,3.2988692428126e-22
"166","gadus morhua_Atl",69804,34903,34901,27291,15127,12164,65834.6141577104,66207.2205438548,112880.576179701,113942.563288048,69772.6819754405,69786.3493190266,28039.0084857579,28052.017546524,65773.2807331457,66172.6331523254,91448.3093028003,95062.2112155165,9.79268638508182e-77,85.1765456584056,3.71890035952222e-224
"167","gadus ogac_Atl",69804,34902,34902,841,316,525,5435.6944906681,5656.63624375128,24463.4893307673,26586.1381029621,69779.8142918144,69787.9901637545,5054.40319954007,5066.43930804698,5388.95886158336,5625.25162082988,36223.2938059203,55245.5019092079,1.8792649535954e-46,220.581896586376,0
"168","genyonemus lineatus_Pac",31363,15681,15682,517,107,410,1839.81144541942,2033.90725466302,13335.8334081562,13877.3059264962,31338.0913064486,31349.0833610419,2808.23644934166,2821.07491910824,1792.60000968516,2006.93677545204,17902.4332521185,21860.3821598873,7.70817730824758e-40,48.3681117693174,6.75331093876864e-112
"169","gersemia rubiformis_Pac",31363,15681,15682,490,76,414,3067.75190953195,3280.77354358309,8613.09549642459,8804.67057728754,31346.9874612827,31354.3151153875,1642.21672395229,1656.62504598135,3037.59388262224,3264.11129175125,16323.0323066642,18602.5667176763,4.92434021255527e-45,15.9322992526934,6.02850749294742e-38
"170","glebocarcinus oregonensis_Pac",31363,15680,15683,678,309,369,5535.55673655003,5618.06025246755,6703.01833190271,7068.57358137649,31338.0753960526,31349.5142027093,1463.14403968055,1477.45814302919,5488.93158666681,5592.70080754736,7457.39925585771,9702.25096298429,5.33175506587448e-17,30.7955608918452,1.23870918993581e-73
"171","glyptocephalus cynoglossus_Atl",69803,34903,34900,15228,7611,7617,56316.5583987417,56750.3639938824,59883.4504136184,60694.551955237,69772.3954251194,69785.703434873,15974.9307190761,15989.4112951457,56256.7996500371,56716.4283307048,39327.5764074545,41444.2560118957,9.43893653106701e-90,59.3797608701414,2.40353805343021e-169
"172","glyptocephalus zachirus_Pac",31363,15681,15682,14784,7371,7413,30816.7623483375,30892.4284442899,55720.4795535225,55909.7967080647,31330.3876143305,31344.3721044226,14750.0680841324,14765.0077447935,30753.699790103,30856.0631725494,37337.8769660184,37892.9327844637,1.6418923107366e-15,14.6777913810247,4.69771898948789e-38
"173","gorgonocephalus eucnemis_Pac",31363,15681,15682,10436,4782,5654,32074.700042566,32130.7975034848,39354.9447498788,39420.9434481667,31329.7984048223,31344.282998698,10402.5751265475,10417.0096865261,32011.1612443836,32094.7747030375,26365.7806972036,26602.0279317216,9.45697435406516e-12,6.45814723718608,1.67405337713944e-13
"174","gymnachirus texae_Atl",69804,34902,34902,397,205,192,3054.63349342376,3081.78925756527,16023.3943702409,16334.5890837659,69782.9133005978,69794.7086727821,6573.72880748291,6584.69301053511,3015.13304822973,3063.86072249049,4346.53741897912,4571.52897600116,1.99278228985445e-06,31.0376817708565,1.44735135854382e-64
"175","gymnelus viridis_Atl",69804,34902,34902,761,238,523,5618.95193670999,5676.41269908651,23727.243998617,24639.3503245943,69781.9866907332,69790.9497724773,5029.28266468346,5043.13747029727,5576.99980311454,5651.88786964827,31836.3961533547,38321.9430270685,1.59470986641851e-12,73.9661234112039,1.82435287986712e-190
