,sppocean,npres,npres.tr,npres.te,ntot,auc,auc.tt,tss,tss.tt,r2.biomass,r2.biomass.tt,r2.all,r2.all.tt,r2.pres.1deg,r2.abun.1deg,dev.pres,dev.biomass,dev.pres.null,dev.biomass.null
96,chionoecetes tanneri_Pac,1724,1378,346,16418,0.973970151,0.965350382,0.85081228,0.827157606,0.41758817,0.339220726,0.282105411,0.259600825,0.8,0.62,0.643667842,0.464988,0.35282034,0.267226451
97,chlamys islandica_Atl,2077,1396,681,56924,0.929302944,0.80726567,0.764055336,0.572550825,0.714637169,0.209042521,0.014532117,0.001341822,0.38,0.05,0.364270472,0.972888664,0.304167357,0.971381262
98,chlamys rubida_Pac,746,671,75,23210,0.869062558,0.877738851,0.632060764,0.710026184,0.060312578,0.053715599,0.014210652,0.013045798,0.23,0.04,0.229808505,0.809624227,0.18067784,0.807823888
99,chloroscombrus chrysurus_Atl,2616,2257,359,37904,0.974191057,0.973418809,0.871632836,0.890581213,0.366561526,0.211027965,0.03536671,0.160572898,0.73,0.08,0.604624453,0.960754291,0.46200593,0.958598601
100,chorilia longipes_Pac,649,NA,NA,31363,0.875228223,NA,0.611633823,NA,0.386261017,NA,0.009388477,NA,0.24,0.15,0.236194391,0.941253964,0.175654797,0.937601551
101,chrysaora melanaster_Pac,3810,1895,1915,28685,0.929750516,0.864806131,0.72510626,0.632821309,0.184689486,0.044181365,0.072210976,0.028316954,0.59,0.04,0.448814259,0.189879916,0.41691071,0.160373645
102,chrysaora quinquecirrha_Atl,617,492,125,7798,0.800980527,0.741179094,0.503940919,0.501397624,0.161087256,0.001631727,0.007659977,0.000742047,0.18,0.04,0.161632016,0.161060667,0.076336163,0.0606932
103,citharichthys arctifrons_Atl,2901,1170,1731,41642,0.853509889,0.825753124,0.559733952,0.514708014,0.209199868,0.060386976,0.055592567,0.03028885,0.31,0.18,0.248916781,0.797983187,0.120599423,0.767912323
104,citharichthys macrops_Atl,335,209,126,37904,0.930636405,0.933926309,0.812085906,0.830320033,0.746434978,0.603402742,0.0003471,0.00044244,0.1,0,0.295338492,0.992163709,0.256213139,0.991599403
105,citharichthys sordidus_Pac,3115,2472,643,16418,0.973194873,0.977231573,0.845562931,0.853426514,0.174580508,0.075598906,0.040168188,0.08304771,0.82,0.07,0.656579169,0.401355019,0.442580968,0.369906968
106,citharichthys spilopterus_Atl,885,785,100,7798,0.630957886,0.542143836,0.501232599,0.517180305,0.218523031,0.029097579,0.011127315,0.002418843,0.05,0.05,0.032782533,0.218303475,0.009473253,0.185566892
107,clinocardium ciliatum_Pac,400,254,146,23210,0.83810434,0.843746953,0.539379233,0.574874999,0.302158933,0.107001756,0.008694522,0.012991639,0.12,0.04,0.178497845,0.884215729,0.081208574,0.875396446
108,clinopegma magnum_Pac,1433,1110,323,11284,0.801644786,0.797762702,0.550563356,0.59125529,0.172446537,0.076876146,0.04694558,0.038375269,0.23,0.14,0.182552328,0.172397706,0.010244507,0.097402434
109,clupea harengus_Atl,14807,10230,4577,62009,0.795411368,0.793555082,0.504965635,0.52895339,0.580938018,0.16600417,0.042181611,0.07441588,0.26,0.06,0.18860821,0.591321436,0.091922532,0.575848539
110,clupea pallasii_Pac,4766,3968,798,31363,0.843916206,0.847241162,0.578622572,0.598668031,0.122361655,0.028466789,0.01139777,0.003344095,0.3,0.02,0.252408187,0.322943234,0.17411899,0.280476158
111,coryphaenoides acrolepis_Pac,1190,967,223,16418,0.99223034,0.985892971,0.923063499,0.900906359,0.61127639,0.002005524,0.337760349,0.349834543,0.89,0.57,0.79278689,0.615886311,0.332159538,0.091129828
112,coryphaenoides rupestris_Atl,2209,1821,388,26818,0.967156624,0.921483448,0.870261307,0.811544289,0.227003821,7.53E-05,1.04E-07,1.96E-06,0.69,0,0.575731102,0.888547772,0.451804487,0.885414499
113,cottunculus microps_Atl,992,838,154,26818,0.907537814,0.878088747,0.724723272,0.646199148,0.342788656,0.312055053,0.003068637,0.001829507,0.3,0.01,0.308318121,0.967202493,0.237817922,0.966139178
114,crangon dalli_Pac,548,409,139,23210,0.837730908,0.836679624,0.543510269,0.587134378,0.338623273,0.003128225,0.039655555,0.014913951,0.14,0.1,0.182236456,0.940384445,0.144259573,0.934886283
115,crossaster borealis_Pac,1129,886,243,31363,0.939315764,0.900054597,0.755106904,0.680116545,0.194776845,0.198952449,0.141707377,0.102748468,0.61,0.42,0.453388663,0.82571792,0.299246773,0.81939739
116,crossaster papposus_Pac,2227,1702,525,31363,0.780399229,0.742635617,0.516678193,0.515377029,0.2588704,0.235234754,0.029000393,0.055264082,0.12,0.03,0.135231533,0.906924225,0.0960861,0.903592482
117,ctenodiscus crispatus_Pac,3276,2378,898,31363,0.829820401,0.829285337,0.556261917,0.564458415,0.348253207,0.21335554,0.048346985,0.064452409,0.24,0.1,0.209993473,0.602507205,0.11562602,0.477192082
