"lon","lat","depth","rugosity"
267.0625,28.8125,-27,0.5
267.0625,28.9375,-22,0.5
267.1875,28.8125,-28,0.625
267.1875,28.9375,-23,0.375
267.3125,28.8125,-29,0.5
267.3125,28.9375,-26,0.375
267.4375,28.8125,-30,0.125
267.4375,28.9375,-27,0.625
267.5625,28.8125,-32,1.625
267.5625,28.9375,-27,0.375
267.6875,28.8125,-30,0.5
267.6875,28.9375,-26,0.375
267.8125,28.8125,-30,0.5
267.8125,28.9375,-24,0.25
267.9375,28.8125,-28,0.25
267.9375,28.9375,-22,0.75
268.0625,28.8125,-26,0
268.0625,28.9375,-20,0.375
268.1875,28.8125,-24,0.375
268.1875,28.9375,-19,0.625
268.3125,28.8125,-22,0.75
268.3125,28.9375,-18,0.5
268.4375,28.8125,-20,0.75
268.4375,28.9375,-15,0.5
268.5625,28.8125,-18,0.375
268.5625,28.9375,-11,0.5
268.6875,28.8125,-13,0.875
268.6875,28.9375,-7,0.125
268.8125,28.8125,-7,0.125
268.8125,28.9375,-6,0.125
268.9375,28.8125,-8,0.125
268.9375,28.9375,-9,1.125
269.0625,28.8125,-12,0
269.0625,28.9375,-9,0.625
269.1875,28.8125,-16,0
269.1875,28.9375,-7,1.5
269.3125,28.8125,-19,0.625
269.3125,28.9375,-7,2.5
269.4375,28.8125,-19,0.25
269.4375,28.9375,-11,4.75
269.5625,28.8125,-19,0.375
269.5625,28.9375,-14,0.625
269.6875,28.8125,-20,0.375
269.6875,28.9375,-16,0.75
269.8125,28.8125,-29,1.125
269.8125,28.9375,-19,0.625
269.9375,28.8125,-36,0.375
269.9375,28.9375,-27,0.875
270.0625,28.8125,-45,0.875
270.0625,28.9375,-34,0.5
270.1875,28.8125,-58,1.75
270.1875,28.9375,-44,0.75
270.3125,28.8125,-70,2.25
270.3125,28.9375,-53,1
270.4375,28.8125,-81,1.625
270.4375,28.9375,-56,2.375
270.5625,28.8125,-72,4.5
270.5625,28.9375,-3,2.375
270.6875,28.8125,-92,6.875
270.6875,28.9375,-29,4
