taxon,species,genus,family,order,class,superclass,subphylum,phylum,kingdom,name,common,genusspecies,newname
Bathyraja aleutica,aleutica,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja aleutica,Aleutian skate,Bathyraja aleutica,Bathyraja aleutica
Bathyraja interrupta,interrupta,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja interrupta,sandpaper skate,Bathyraja interrupta,Bathyraja interrupta
Bathyraja maculata,maculata,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja maculata,white-blotched skate,Bathyraja maculata,Bathyraja maculata
Bathyraja parmifera,parmifera,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja parmifera,Alaska skate,Bathyraja parmifera,Bathyraja parmifera
Bathyraja sp.,NA,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja spp.,roughtail skate,Bathyraja NA,Bathyraja spp.
Bathyraja taranetzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bathyraja taranetzi,mud skate,NA NA,Bathyraja taranetzi
Bathyraja trachura,trachura,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja trachura,roughtail skate,Bathyraja trachura,Bathyraja trachura
Bathyrajasp,NA,Bathyraja,Rajidae,Rajiformes,Elasmobranchii,Pisces,Vertebrata,Chordata,Animalia,Bathyraja spp.,bathyrajid skates,Bathyraja NA,Bathyraja spp.
Bathyrajasp.,NA,Bathyraja,Rajidae,Rajiformes,Elasmobranchii,Pisces,Vertebrata,Chordata,Animalia,Bathyraja spp.,bathyrajid skates,Bathyraja NA,Bathyraja spp.
BELLATOR MILITARIS,militaris,Bellator,Triglidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Bellator militaris,horned searobin,Bellator militaris,Bellator militaris
