spp_ocean,n_pres,full_model,full_minus_temp,temp_only
triglops macellus_Pac,267,0.097,0.072,0.059
triglops murrayi_Atl,2584,0.407,0.363,0.089
triglops pingelii_Pac,904,0.1,0.031,0.07
triglops scepticus_Pac,1532,0.074,0.058,0.04
tritonia diomedea_Pac,368,0.3,0.27,0.241
upeneus parvus_Gulf,2804,0.189,0.16,0.049
urophycis chuss_Atl,NA,0.186,0.088,0.114
urophycis cirrata_Gulf,466,0.398,0.37,0.085
urophycis floridana_Gulf,1169,0.348,0.292,0.055
urophycis regia_Atl,6506,0.273,0.114,0.264
urophycis tenuis_Atl,12343,0.218,0.108,0.104
vampyroteuthis infernalis_Pac,25,0.866,0.511,0.301
xeneretmus latifrons_Pac,80,NA,NA,NA
zalembius rosaceus_Pac,297,NA,NA,NA
zaniolepis frenata_Pac,4,NA,NA,NA
zaniolepis latipinnis_Pac,144,NA,NA,NA
zaprora silenus_Pac,1083,0.21,0.114,0.135
zoarces americanus_Atl,7843,0.283,0.257,0.126
